immediate_dec,immediate_hex,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
152,0x98,0xFF98,0x0098,0xFF66,0x0000,0x008C,0x000E,0xFF98,0x08CE,0x0208,0x8000,0x0000,0x0000,0xFFFF,0x9800,0x000E,0x0000
153,0x99,0xFF99,0x0099,0xFF66,0x0000,0x008D,0x000E,0xFF99,0x08DC,0x0203,0x4000,0x0000,0xC000,0xFFFF,0x9900,0x000E,0x0000
154,0x9A,0xFF9A,0x009A,0xFF64,0x0000,0x008E,0x000E,0xFF9A,0x08EA,0x01FE,0x0000,0x0000,0x8000,0xFFFF,0x9A00,0x000E,0x0000
155,0x9B,0xFF9B,0x009B,0xFF64,0x0000,0x008F,0x000E,0xFF9B,0x08F8,0x01F9,0xC000,0x0000,0x4000,0xFFFF,0x9B00,0x000E,0x0000
156,0x9C,0xFF9C,0x009C,0xFF62,0x0000,0x0088,0x000E,0xFF9C,0x0906,0x01F4,0x8000,0x0000,0x0000,0xFFFF,0x9C00,0x000E,0x0000
157,0x9D,0xFF9D,0x009D,0xFF62,0x0000,0x0089,0x000E,0xFF9D,0x0914,0x01EF,0x4000,0x0000,0xC000,0xFFFF,0x9D00,0x000E,0x0000
158,0x9E,0xFF9E,0x009E,0xFF60,0x0000,0x008A,0x000E,0xFF9E,0x0922,0x01EA,0x0000,0x0000,0x8000,0xFFFF,0x9E00,0x000E,0x0000
159,0x9F,0xFF9F,0x009F,0xFF60,0x0000,0x008B,0x000E,0xFF9F,0x0930,0x01E5,0xC000,0x0000,0x4000,0xFFFF,0x9F00,0x000E,0x0000
160,0xA0,0xFFA0,0x00A0,0xFF4E,0x0000,0x00B4,0x000E,0xFFA0,0x093E,0x01E0,0x8000,0x0000,0x0000,0xFFFF,0xA000,0x000E,0x0000
161,0xA1,0xFFA1,0x00A1,0xFF4E,0x0000,0x00B5,0x000E,0xFFA1,0x094C,0x01DB,0x4000,0x0000,0xC000,0xFFFF,0xA100,0x000E,0x0000
162,0xA2,0xFFA2,0x00A2,0xFF4C,0x0000,0x00B6,0x000E,0xFFA2,0x095A,0x01D6,0x0000,0x0000,0x8000,0xFFFF,0xA200,0x000E,0x0000
163,0xA3,0xFFA3,0x00A3,0xFF4C,0x0000,0x00B7,0x000E,0xFFA3,0x0968,0x01D1,0xC000,0x0000,0x4000,0xFFFF,0xA300,0x000E,0x0000
164,0xA4,0xFFA4,0x00A4,0xFF4A,0x0000,0x00B0,0x000E,0xFFA4,0x0976,0x01CC,0x8000,0x0000,0x0000,0xFFFF,0xA400,0x000E,0x0000
165,0xA5,0xFFA5,0x00A5,0xFF4A,0x0000,0x00B1,0x000E,0xFFA5,0x0984,0x01C7,0x4000,0x0000,0xC000,0xFFFF,0xA500,0x000E,0x0000
166,0xA6,0xFFA6,0x00A6,0xFF48,0x0000,0x00B2,0x000E,0xFFA6,0x0992,0x01C2,0x0000,0x0000,0x8000,0xFFFF,0xA600,0x000E,0x0000
167,0xA7,0xFFA7,0x00A7,0xFF48,0x0000,0x00B3,0x000E,0xFFA7,0x09A0,0x01BD,0xC000,0x0000,0x4000,0xFFFF,0xA700,0x000E,0x0000
168,0xA8,0xFFA8,0x00A8,0xFF46,0x0000,0x00BC,0x000E,0xFFA8,0x09AE,0x01B8,0x8000,0x0000,0x0000,0xFFFF,0xA800,0x000E,0x0000
169,0xA9,0xFFA9,0x00A9,0xFF46,0x0000,0x00BD,0x000E,0xFFA9,0x09BC,0x01B3,0x4000,0x0000,0xC000,0xFFFF,0xA900,0x000E,0x0000
170,0xAA,0xFFAA,0x00AA,0xFF44,0x0000,0x00BE,0x000E,0xFFAA,0x09CA,0x01AE,0x0000,0x0000,0x8000,0xFFFF,0xAA00,0x000E,0x0000
171,0xAB,0xFFAB,0x00AB,0xFF44,0x0000,0x00BF,0x000E,0xFFAB,0x09D8,0x01A9,0xC000,0x0000,0x4000,0xFFFF,0xAB00,0x000E,0x0000
172,0xAC,0xFFAC,0x00AC,0xFF42,0x0000,0x00B8,0x000E,0xFFAC,0x09E6,0x01A4,0x8000,0x0000,0x0000,0xFFFF,0xAC00,0x000E,0x0000
173,0xAD,0xFFAD,0x00AD,0xFF42,0x0000,0x00B9,0x000E,0xFFAD,0x09F4,0x019F,0x4000,0x0000,0xC000,0xFFFF,0xAD00,0x000E,0x0000
174,0xAE,0xFFAE,0x00AE,0xFF40,0x0000,0x00BA,0x000E,0xFFAE,0x0A02,0x019A,0x0000,0x0000,0x8000,0xFFFF,0xAE00,0x000E,0x0000
175,0xAF,0xFFAF,0x00AF,0xFF40,0x0000,0x00BB,0x000E,0xFFAF,0x0A10,0x0195,0xC000,0x0000,0x4000,0xFFFF,0xAF00,0x000E,0x0000
176,0xB0,0xFFB0,0x00B0,0xFF4E,0x0000,0x00A4,0x000E,0xFFB0,0x0A1E,0x0190,0x8000,0x0000,0x0000,0xFFFF,0xB000,0x000E,0x0000
177,0xB1,0xFFB1,0x00B1,0xFF4E,0x0000,0x00A5,0x000E,0xFFB1,0x0A2C,0x018B,0x4000,0x0000,0xC000,0xFFFF,0xB100,0x000E,0x0000
178,0xB2,0xFFB2,0x00B2,0xFF4C,0x0000,0x00A6,0x000E,0xFFB2,0x0A3A,0x0186,0x0000,0x0000,0x8000,0xFFFF,0xB200,0x000E,0x0000
179,0xB3,0xFFB3,0x00B3,0xFF4C,0x0000,0x00A7,0x000E,0xFFB3,0x0A48,0x0181,0xC000,0x0000,0x4000,0xFFFF,0xB300,0x000E,0x0000
180,0xB4,0xFFB4,0x00B4,0xFF4A,0x0000,0x00A0,0x000E,0xFFB4,0x0A56,0x017C,0x8000,0x0000,0x0000,0xFFFF,0xB400,0x000E,0x0000
181,0xB5,0xFFB5,0x00B5,0xFF4A,0x0000,0x00A1,0x000E,0xFFB5,0x0A64,0x0177,0x4000,0x0000,0xC000,0xFFFF,0xB500,0x000E,0x0000
182,0xB6,0xFFB6,0x00B6,0xFF48,0x0000,0x00A2,0x000E,0xFFB6,0x0A72,0x0172,0x0000,0x0000,0x8000,0xFFFF,0xB600,0x000E,0x0000
183,0xB7,0xFFB7,0x00B7,0xFF48,0x0000,0x00A3,0x000E,0xFFB7,0x0A80,0x016D,0xC000,0x0000,0x4000,0xFFFF,0xB700,0x000E,0x0000
184,0xB8,0xFFB8,0x00B8,0xFF46,0x0000,0x00AC,0x000E,0xFFB8,0x0A8E,0x0168,0x8000,0x0000,0x0000,0xFFFF,0xB800,0x000E,0x0000
185,0xB9,0xFFB9,0x00B9,0xFF46,0x0000,0x00AD,0x000E,0xFFB9,0x0A9C,0x0163,0x4000,0x0000,0xC000,0xFFFF,0xB900,0x000E,0x0000
186,0xBA,0xFFBA,0x00BA,0xFF44,0x0000,0x00AE,0x000E,0xFFBA,0x0AAA,0x015E,0x0000,0x0000,0x8000,0xFFFF,0xBA00,0x000E,0x0000
187,0xBB,0xFFBB,0x00BB,0xFF44,0x0000,0x00AF,0x000E,0xFFBB,0x0AB8,0x0159,0xC000,0x0000,0x4000,0xFFFF,0xBB00,0x000E,0x0000
188,0xBC,0xFFBC,0x00BC,0xFF42,0x0000,0x00A8,0x000E,0xFFBC,0x0AC6,0x0154,0x8000,0x0000,0x0000,0xFFFF,0xBC00,0x000E,0x0000
189,0xBD,0xFFBD,0x00BD,0xFF42,0x0000,0x00A9,0x000E,0xFFBD,0x0AD4,0x014F,0x4000,0x0000,0xC000,0xFFFF,0xBD00,0x000E,0x0000
190,0xBE,0xFFBE,0x00BE,0xFF40,0x0000,0x00AA,0x000E,0xFFBE,0x0AE2,0x014A,0x0000,0x0000,0x8000,0xFFFF,0xBE00,0x000E,0x0000
191,0xBF,0xFFBF,0x00BF,0xFF40,0x0000,0x00AB,0x000E,0xFFBF,0x0AF0,0x0145,0xC000,0x0000,0x4000,0xFFFF,0xBF00,0x000E,0x0000
192,0xC0,0xFFC0,0x00C0,0xFF2E,0x0000,0x00D4,0x000E,0xFFC0,0x0AFE,0x0140,0x8000,0x0000,0x0000,0xFFFF,0xC000,0x000E,0x0000
193,0xC1,0xFFC1,0x00C1,0xFF2E,0x0000,0x00D5,0x000E,0xFFC1,0x0B0C,0x013B,0x4000,0x0000,0xC000,0xFFFF,0xC100,0x000E,0x0000
194,0xC2,0xFFC2,0x00C2,0xFF2C,0x0000,0x00D6,0x000E,0xFFC2,0x0B1A,0x0136,0x0000,0x0000,0x8000,0xFFFF,0xC200,0x000E,0x0000
195,0xC3,0xFFC3,0x00C3,0xFF2C,0x0000,0x00D7,0x000E,0xFFC3,0x0B28,0x0131,0xC000,0x0000,0x4000,0xFFFF,0xC300,0x000E,0x0000
196,0xC4,0xFFC4,0x00C4,0xFF2A,0x0000,0x00D0,0x000E,0xFFC4,0x0B36,0x012C,0x8000,0x0000,0x0000,0xFFFF,0xC400,0x000E,0x0000
197,0xC5,0xFFC5,0x00C5,0xFF2A,0x0000,0x00D1,0x000E,0xFFC5,0x0B44,0x0127,0x4000,0x0000,0xC000,0xFFFF,0xC500,0x000E,0x0000
198,0xC6,0xFFC6,0x00C6,0xFF28,0x0000,0x00D2,0x000E,0xFFC6,0x0B52,0x0122,0x0000,0x0000,0x8000,0xFFFF,0xC600,0x000E,0x0000
199,0xC7,0xFFC7,0x00C7,0xFF28,0x0000,0x00D3,0x000E,0xFFC7,0x0B60,0x011D,0xC000,0x0000,0x4000,0xFFFF,0xC700,0x000E,0x0000
200,0xC8,0xFFC8,0x00C8,0xFF26,0x0000,0x00DC,0x000E,0xFFC8,0x0B6E,0x0118,0x8000,0x0000,0x0000,0xFFFF,0xC800,0x000E,0x0000
201,0xC9,0xFFC9,0x00C9,0xFF26,0x0000,0x00DD,0x000E,0xFFC9,0x0B7C,0x0113,0x4000,0x0000,0xC000,0xFFFF,0xC900,0x000E,0x0000
202,0xCA,0xFFCA,0x00CA,0xFF24,0x0000,0x00DE,0x000E,0xFFCA,0x0B8A,0x010E,0x0000,0x0000,0x8000,0xFFFF,0xCA00,0x000E,0x0000
203,0xCB,0xFFCB,0x00CB,0xFF24,0x0000,0x00DF,0x000E,0xFFCB,0x0B98,0x0109,0xC000,0x0000,0x4000,0xFFFF,0xCB00,0x000E,0x0000
204,0xCC,0xFFCC,0x00CC,0xFF22,0x0000,0x00D8,0x000E,0xFFCC,0x0BA6,0x0104,0x8000,0x0000,0x0000,0xFFFF,0xCC00,0x000E,0x0000
205,0xCD,0xFFCD,0x00CD,0xFF22,0x0000,0x00D9,0x000E,0xFFCD,0x0BB4,0x00FF,0x4000,0x0000,0xC000,0xFFFF,0xCD00,0x000E,0x0000
206,0xCE,0xFFCE,0x00CE,0xFF20,0x0000,0x00DA,0x000E,0xFFCE,0x0BC2,0x00FA,0x0000,0x0000,0x8000,0xFFFF,0xCE00,0x000E,0x0000
207,0xCF,0xFFCF,0x00CF,0xFF20,0x0000,0x00DB,0x000E,0xFFCF,0x0BD0,0x00F5,0xC000,0x0000,0x4000,0xFFFF,0xCF00,0x000E,0x0000
208,0xD0,0xFFD0,0x00D0,0xFF2E,0x0000,0x00C4,0x000E,0xFFD0,0x0BDE,0x00F0,0x8000,0x0000,0x0000,0xFFFF,0xD000,0x000E,0x0000
209,0xD1,0xFFD1,0x00D1,0xFF2E,0x0000,0x00C5,0x000E,0xFFD1,0x0BEC,0x00EB,0x4000,0x0000,0xC000,0xFFFF,0xD100,0x000E,0x0000
210,0xD2,0xFFD2,0x00D2,0xFF2C,0x0000,0x00C6,0x000E,0xFFD2,0x0BFA,0x00E6,0x0000,0x0000,0x8000,0xFFFF,0xD200,0x000E,0x0000
211,0xD3,0xFFD3,0x00D3,0xFF2C,0x0000,0x00C7,0x000E,0xFFD3,0x0C08,0x00E1,0xC000,0x0000,0x4000,0xFFFF,0xD300,0x000E,0x0000
212,0xD4,0xFFD4,0x00D4,0xFF2A,0x0000,0x00C0,0x000E,0xFFD4,0x0C16,0x00DC,0x8000,0x0000,0x0000,0xFFFF,0xD400,0x000E,0x0000
213,0xD5,0xFFD5,0x00D5,0xFF2A,0x0000,0x00C1,0x000E,0xFFD5,0x0C24,0x00D7,0x4000,0x0000,0xC000,0xFFFF,0xD500,0x000E,0x0000
214,0xD6,0xFFD6,0x00D6,0xFF28,0x0000,0x00C2,0x000E,0xFFD6,0x0C32,0x00D2,0x0000,0x0000,0x8000,0xFFFF,0xD600,0x000E,0x0000
215,0xD7,0xFFD7,0x00D7,0xFF28,0x0000,0x00C3,0x000E,0xFFD7,0x0C40,0x00CD,0xC000,0x0000,0x4000,0xFFFF,0xD700,0x000E,0x0000
216,0xD8,0xFFD8,0x00D8,0xFF26,0x0000,0x00CC,0x000E,0xFFD8,0x0C4E,0x00C8,0x8000,0x0000,0x0000,0xFFFF,0xD800,0x000E,0x0000
217,0xD9,0xFFD9,0x00D9,0xFF26,0x0000,0x00CD,0x000E,0xFFD9,0x0C5C,0x00C3,0x4000,0x0000,0xC000,0xFFFF,0xD900,0x000E,0x0000
218,0xDA,0xFFDA,0x00DA,0xFF24,0x0000,0x00CE,0x000E,0xFFDA,0x0C6A,0x00BE,0x0000,0x0000,0x8000,0xFFFF,0xDA00,0x000E,0x0000
219,0xDB,0xFFDB,0x00DB,0xFF24,0x0000,0x00CF,0x000E,0xFFDB,0x0C78,0x00B9,0xC000,0x0000,0x4000,0xFFFF,0xDB00,0x000E,0x0000
220,0xDC,0xFFDC,0x00DC,0xFF22,0x0000,0x00C8,0x000E,0xFFDC,0x0C86,0x00B4,0x8000,0x0000,0x0000,0xFFFF,0xDC00,0x000E,0x0000
221,0xDD,0xFFDD,0x00DD,0xFF22,0x0000,0x00C9,0x000E,0xFFDD,0x0C94,0x00AF,0x4000,0x0000,0xC000,0xFFFF,0xDD00,0x000E,0x0000
222,0xDE,0xFFDE,0x00DE,0xFF20,0x0000,0x00CA,0x000E,0xFFDE,0x0CA2,0x00AA,0x0000,0x0000,0x8000,0xFFFF,0xDE00,0x000E,0x0000
223,0xDF,0xFFDF,0x00DF,0xFF20,0x0000,0x00CB,0x000E,0xFFDF,0x0CB0,0x00A5,0xC000,0x0000,0x4000,0xFFFF,0xDF00,0x000E,0x0000
224,0xE0,0xFFE0,0x00E0,0xFF0E,0x0000,0x00F4,0x000E,0xFFE0,0x0CBE,0x00A0,0x8000,0x0000,0x0000,0xFFFF,0xE000,0x000E,0x0000
225,0xE1,0xFFE1,0x00E1,0xFF0E,0x0000,0x00F5,0x000E,0xFFE1,0x0CCC,0x009B,0x4000,0x0000,0xC000,0xFFFF,0xE100,0x000E,0x0000
226,0xE2,0xFFE2,0x00E2,0xFF0C,0x0000,0x00F6,0x000E,0xFFE2,0x0CDA,0x0096,0x0000,0x0000,0x8000,0xFFFF,0xE200,0x000E,0x0000
227,0xE3,0xFFE3,0x00E3,0xFF0C,0x0000,0x00F7,0x000E,0xFFE3,0x0CE8,0x0091,0xC000,0x0000,0x4000,0xFFFF,0xE300,0x000E,0x0000
228,0xE4,0xFFE4,0x00E4,0xFF0A,0x0000,0x00F0,0x000E,0xFFE4,0x0CF6,0x008C,0x8000,0x0000,0x0000,0xFFFF,0xE400,0x000E,0x0000
229,0xE5,0xFFE5,0x00E5,0xFF0A,0x0000,0x00F1,0x000E,0xFFE5,0x0D04,0x0087,0x4000,0x0000,0xC000,0xFFFF,0xE500,0x000E,0x0000
230,0xE6,0xFFE6,0x00E6,0xFF08,0x0000,0x00F2,0x000E,0xFFE6,0x0D12,0x0082,0x0000,0x0000,0x8000,0xFFFF,0xE600,0x000E,0x0000
231,0xE7,0xFFE7,0x00E7,0xFF08,0x0000,0x00F3,0x000E,0xFFE7,0x0D20,0x007D,0xC000,0x0000,0x4000,0xFFFF,0xE700,0x000E,0x0000
232,0xE8,0xFFE8,0x00E8,0xFF06,0x0000,0x00FC,0x000E,0xFFE8,0x0D2E,0x0078,0x8000,0x0000,0x0000,0xFFFF,0xE800,0x000E,0x0000
233,0xE9,0xFFE9,0x00E9,0xFF06,0x0000,0x00FD,0x000E,0xFFE9,0x0D3C,0x0073,0x4000,0x0000,0xC000,0xFFFF,0xE900,0x000E,0x0000
234,0xEA,0xFFEA,0x00EA,0xFF04,0x0000,0x00FE,0x000E,0xFFEA,0x0D4A,0x006E,0x0000,0x0000,0x8000,0xFFFF,0xEA00,0x000E,0x0000
235,0xEB,0xFFEB,0x00EB,0xFF04,0x0000,0x00FF,0x000E,0xFFEB,0x0D58,0x0069,0xC000,0x0000,0x4000,0xFFFF,0xEB00,0x000E,0x0000
236,0xEC,0xFFEC,0x00EC,0xFF02,0x0000,0x00F8,0x000E,0xFFEC,0x0D66,0x0064,0x8000,0x0000,0x0000,0xFFFF,0xEC00,0x000E,0x0000
237,0xED,0xFFED,0x00ED,0xFF02,0x0000,0x00F9,0x000E,0xFFED,0x0D74,0x005F,0x4000,0x0000,0xC000,0xFFFF,0xED00,0x000E,0x0000
238,0xEE,0xFFEE,0x00EE,0xFF00,0x0000,0x00FA,0x000E,0xFFEE,0x0D82,0x005A,0x0000,0x0000,0x8000,0xFFFF,0xEE00,0x000E,0x0000
239,0xEF,0xFFEF,0x00EF,0xFF00,0x0000,0x00FB,0x000E,0xFFEF,0x0D90,0x0055,0xC000,0x0000,0x4000,0xFFFF,0xEF00,0x000E,0x0000
240,0xF0,0xFFF0,0x00F0,0xFF0E,0x0000,0x00E4,0x000E,0xFFF0,0x0D9E,0x0050,0x8000,0x0000,0x0000,0xFFFF,0xF000,0x000E,0x0000
241,0xF1,0xFFF1,0x00F1,0xFF0E,0x0000,0x00E5,0x000E,0xFFF1,0x0DAC,0x004B,0x4000,0x0001,0xC000,0xFFFF,0xF100,0x000E,0x0000
242,0xF2,0xFFF2,0x00F2,0xFF0C,0x0000,0x00E6,0x000E,0xFFF2,0x0DBA,0x0046,0x0000,0x0003,0x8000,0xFFFF,0xF200,0x000E,0x0000
243,0xF3,0xFFF3,0x00F3,0xFF0C,0x0000,0x00E7,0x000E,0xFFF3,0x0DC8,0x0041,0xC000,0x0007,0x4000,0xFFFF,0xF300,0x000E,0x0000
244,0xF4,0xFFF4,0x00F4,0xFF0A,0x0000,0x00E0,0x000E,0xFFF4,0x0DD6,0x003C,0x8000,0x000F,0x0000,0xFFFF,0xF400,0x000E,0x0000
245,0xF5,0xFFF5,0x00F5,0xFF0A,0x0000,0x00E1,0x000E,0xFFF5,0x0DE4,0x0037,0x4000,0x001F,0xC000,0xFFFF,0xF500,0x000E,0x0000
246,0xF6,0xFFF6,0x00F6,0xFF08,0x0000,0x00E2,0x000E,0xFFF6,0x0DF2,0x0032,0x0000,0x003F,0x8000,0xFFFF,0xF600,0x000E,0x0000
247,0xF7,0xFFF7,0x00F7,0xFF08,0x0000,0x00E3,0x000E,0xFFF7,0x0E00,0x002D,0xC000,0x007F,0x4000,0xFFFF,0xF700,0x000E,0x0000
248,0xF8,0xFFF8,0x00F8,0xFF06,0x0000,0x00EC,0x000E,0xFFF8,0x0E0E,0x0028,0x8000,0x00FF,0x0000,0xFFFF,0xF800,0x000E,0x0000
249,0xF9,0xFFF9,0x00F9,0xFF06,0x0000,0x00ED,0x000E,0xFFF9,0x0E1C,0x0023,0x4000,0x01FF,0xC000,0xFFFF,0xF900,0x000E,0x0000
250,0xFA,0xFFFA,0x00FA,0xFF04,0x0000,0x00EE,0x000E,0xFFFA,0x0E2A,0x001E,0x0000,0x03FF,0x8000,0xFFFF,0xFA00,0x000E,0x0000
251,0xFB,0xFFFB,0x00FB,0xFF04,0x0000,0x00EF,0x000E,0xFFFB,0x0E38,0x0019,0xC000,0x07FF,0x4000,0xFFFF,0xFB00,0x000E,0x0000
252,0xFC,0xFFFC,0x00FC,0xFF02,0x0000,0x00E8,0x000E,0xFFFC,0x0E46,0x0014,0x8000,0x0FFF,0x0000,0xFFFF,0xFC00,0x000E,0x0000
253,0xFD,0xFFFD,0x00FD,0xFF02,0x0000,0x00E9,0x000E,0xFFFD,0x0E54,0x000F,0x4000,0x1FFF,0xC000,0xFFFF,0xFD00,0x000E,0x0000
254,0xFE,0xFFFE,0x00FE,0xFF00,0x0000,0x00EA,0x000E,0xFFFE,0x0E62,0x000A,0x0000,0x3FFF,0x8000,0xFFFF,0xFE00,0x000E,0x0000
255,0xFF,0xFFFF,0x00FF,0xFF00,0x0000,0x00EB,0x000E,0xFFFF,0x0E70,0x0005,0xC000,0x7FFE,0x4000,0xFFFF,0xFF00,0x000E,0x0000
